station_id,display_name,original_names,n_original_names,lines,n_lines
St. John’s Wood,St. John’s Wood,St. John’s Wood,1,Jubilee,1
St. Paul’s,St. Paul’s,St. Paul’s,1,Central-Main,1
Stamford Brook,Stamford Brook,Stamford Brook,1,District-Main,1
Stanmore,Stanmore,Stanmore,1,Jubilee,1
Stepney Green,Stepney Green,Stepney Green,1,District-Main;Hammersmith & City,2
Stockwell,Stockwell,Stockwell,1,Northern-Main;Victoria,2
Stonebridge Park,Stonebridge Park,Stonebridge Park,1,Bakerloo,1
Stratford,Stratford,Stratford,1,Central-Main;Jubilee,2
Sudbury Hill,Sudbury Hill,Sudbury Hill,1,Piccadilly-Uxbridge,1
Sudbury Town,Sudbury Town,Sudbury Town,1,Piccadilly-Uxbridge,1
Swiss Cottage,Swiss Cottage,Swiss Cottage,1,Jubilee,1
Temple,Temple,Temple,1,Circle-Main;District-Main,2
Theydon Bois,Theydon Bois,Theydon Bois,1,Central-Epping;Central-Main,2
Tooting Bec,Tooting Bec,Tooting Bec,1,Northern-Main,1
Tooting Broadway,Tooting Broadway,Tooting Broadway,1,Northern-Main,1
Tottenham Court Road,Tottenham Court Road,Tottenham Court Road,1,Central-Main;Northern-Charing Cross,2
Tottenham Hale,Tottenham Hale,Tottenham Hale,1,Victoria,1
Totteridge & Whetstone,Totteridge & Whetstone,Totteridge & Whetstone,1,Northern-High Barnet,1
Tower Hill,Tower Hill,Tower Hill,1,Circle-Main;District-Main,2
Tufnell Park,Tufnell Park,Tufnell Park,1,Northern-High Barnet,1
Turnham Green,Turnham Green,Turnham Green,1,District-Main;District-Richmond;Piccadilly-Main,3
Turnpike Lane,Turnpike Lane,Turnpike Lane,1,Piccadilly-Main,1
Upminster,Upminster,Upminster,1,District-Main,1
Upminster Bridge,Upminster Bridge,Upminster Bridge,1,District-Main,1
Upney,Upney,Upney,1,District-Main,1
Upton Park,Upton Park,Upton Park,1,District-Main;Hammersmith & City,2
Uxbridge,Uxbridge,Uxbridge,1,Metropolitan-Uxbridge;Piccadilly-Uxbridge,2
Vauxhall,Vauxhall,Vauxhall,1,Victoria,1
Victoria,Victoria,Victoria,1,Circle-Main;District-Main;Victoria,3
Walthamstow Central,Walthamstow Central,Walthamstow Central,1,Victoria,1
Wanstead,Wanstead,Wanstead,1,Central-Hainault Loop;Central-Main,2
Warren Street,Warren Street,Warren Street,1,Northern-Charing Cross;Victoria,2
Warwick Avenue,Warwick Avenue,Warwick Avenue,1,Bakerloo,1
Waterloo,Waterloo,Waterloo,1,Bakerloo;Jubilee;Northern-Charing Cross;Waterloo & City,4
Watford,Watford,Watford,1,Metropolitan-Watford,1
Wembley Central,Wembley Central,Wembley Central,1,Bakerloo,1
Wembley Park,Wembley Park,Wembley Park,1,Jubilee;Metropolitan-Main,2
West Acton,West Acton,West Acton,1,Central-Main,1
West Brompton,West Brompton,West Brompton,1,District-Wimbledon,1
West Finchley,West Finchley,West Finchley,1,Northern-High Barnet,1
West Ham,West Ham,West Ham,1,District-Main;Hammersmith & City;Jubilee,3
West Hampstead,West Hampstead,West Hampstead,1,Jubilee,1
West Harrow,West Harrow,West Harrow,1,Metropolitan-Uxbridge,1
West Kensington,West Kensington,West Kensington,1,District-Main,1
West Ruislip,West Ruislip,West Ruislip,1,Central-West Ruislip,1
Westbourne Park,Westbourne Park,Westbourne Park,1,Circle-Hammersmith;Hammersmith & City,2
