edge_id,station_a,station_b,lines,n_lines
Hornchurch__Upminster Bridge,Hornchurch,Upminster Bridge,District-Main,1
Hounslow Central__Hounslow East,Hounslow Central,Hounslow East,Piccadilly-Main,1
Hounslow Central__Hounslow West,Hounslow Central,Hounslow West,Piccadilly-Main,1
Hounslow East__Osterley,Hounslow East,Osterley,Piccadilly-Main,1
Hyde Park Corner__Knightsbridge,Hyde Park Corner,Knightsbridge,Piccadilly-Main,1
Ickenham__Ruislip,Ickenham,Ruislip,Metropolitan-Uxbridge;Piccadilly-Uxbridge,2
Kennington__Nine Elms,Kennington,Nine Elms,Northern-Battersea Power Station,1
Kennington__Oval,Kennington,Oval,Northern-Main,1
Kennington__Waterloo,Kennington,Waterloo,Northern-Charing Cross,1
Kensal Green__Queen’s Park,Kensal Green,Queen’s Park,Bakerloo,1
Kensal Green__Willesden Junction,Kensal Green,Willesden Junction,Bakerloo,1
Kentish Town__Tufnell Park,Kentish Town,Tufnell Park,Northern-High Barnet,1
Kenton__South Kenton,Kenton,South Kenton,Bakerloo,1
Kew Gardens__Richmond,Kew Gardens,Richmond,District-Richmond,1
Kilburn__West Hampstead,Kilburn,West Hampstead,Jubilee,1
Kilburn__Willesden Green,Kilburn,Willesden Green,Jubilee,1
Kilburn Park__Maida Vale,Kilburn Park,Maida Vale,Bakerloo,1
Kilburn Park__Queen’s Park,Kilburn Park,Queen’s Park,Bakerloo,1
Kingsbury__Queensbury,Kingsbury,Queensbury,Jubilee,1
Kingsbury__Wembley Park,Kingsbury,Wembley Park,Jubilee,1
King’s Cross St. Pancras__Russell Square,King’s Cross St. Pancras,Russell Square,Piccadilly-Main,1
Knightsbridge__South Kensington,Knightsbridge,South Kensington,Piccadilly-Main,1
Ladbroke Grove__Latimer Road,Ladbroke Grove,Latimer Road,Circle-Hammersmith;Hammersmith & City,2
Ladbroke Grove__Westbourne Park,Ladbroke Grove,Westbourne Park,Circle-Hammersmith;Hammersmith & City,2
Lambeth North__Waterloo,Lambeth North,Waterloo,Bakerloo,1
Lancaster Gate__Marble Arch,Lancaster Gate,Marble Arch,Central-Main,1
Lancaster Gate__Queensway,Lancaster Gate,Queensway,Central-Main,1
Latimer Road__Wood Lane,Latimer Road,Wood Lane,Circle-Hammersmith;Hammersmith & City,2
Leicester Square__Piccadilly Circus,Leicester Square,Piccadilly Circus,Piccadilly-Main,1
Leicester Square__Tottenham Court Road,Leicester Square,Tottenham Court Road,Northern-Charing Cross,1
Leyton__Leytonstone,Leyton,Leytonstone,Central-Main,1
Leyton__Stratford,Leyton,Stratford,Central-Main,1
Leytonstone__Snaresbrook,Leytonstone,Snaresbrook,Central-Hainault Loop,1
Leytonstone__Wanstead,Leytonstone,Wanstead,Central-Hainault Loop;Central-Main,2
Liverpool Street__Moorgate,Liverpool Street,Moorgate,Circle-Main;Hammersmith & City;Metropolitan-Main,3
London Bridge__Southwark,London Bridge,Southwark,Jubilee,1
Maida Vale__Warwick Avenue,Maida Vale,Warwick Avenue,Bakerloo,1
Manor House__Turnpike Lane,Manor House,Turnpike Lane,Piccadilly-Main,1
Mile End__Stepney Green,Mile End,Stepney Green,District-Main;Hammersmith & City,2
Mile End__Stratford,Mile End,Stratford,Central-Main,1
Moor Park__Northwood,Moor Park,Northwood,Metropolitan-Main,1
Moor Park__Rickmansworth,Moor Park,Rickmansworth,Metropolitan-Main,1
Moorgate__Old Street,Moorgate,Old Street,Northern-Main,1
Morden__South Wimbledon,Morden,South Wimbledon,Northern-Main,1
Neasden__Wembley Park,Neasden,Wembley Park,Jubilee,1
North Acton__West Acton,North Acton,West Acton,Central-Main,1
North Acton__West Ruislip,North Acton,West Ruislip,Central-West Ruislip,1
North Ealing__Park Royal,North Ealing,Park Royal,Piccadilly-Uxbridge,1
North Harrow__Pinner,North Harrow,Pinner,Metropolitan-Main,1
North Wembley__South Kenton,North Wembley,South Kenton,Bakerloo,1
North Wembley__Wembley Central,North Wembley,Wembley Central,Bakerloo,1
Northfields__South Ealing,Northfields,South Ealing,Piccadilly-Main,1
Northwick Park__Preston Road,Northwick Park,Preston Road,Metropolitan-Main,1
Northwood__Northwood Hills,Northwood,Northwood Hills,Metropolitan-Main,1
Northwood Hills__Pinner,Northwood Hills,Pinner,Metropolitan-Main,1
Notting Hill Gate__Queensway,Notting Hill Gate,Queensway,Central-Main,1
Oakwood__Southgate,Oakwood,Southgate,Piccadilly-Main,1
Oval__Stockwell,Oval,Stockwell,Northern-Main,1
Oxford Circus__Piccadilly Circus,Oxford Circus,Piccadilly Circus,Bakerloo,1
Oxford Circus__Regent’s Park,Oxford Circus,Regent’s Park,Bakerloo,1
Oxford Circus__Tottenham Court Road,Oxford Circus,Tottenham Court Road,Central-Main,1
Oxford Circus__Warren Street,Oxford Circus,Warren Street,Victoria,1
Paddington__Royal Oak,Paddington,Royal Oak,Circle-Hammersmith;Hammersmith & City,2
Paddington__Warwick Avenue,Paddington,Warwick Avenue,Bakerloo,1
Parsons Green__Putney Bridge,Parsons Green,Putney Bridge,District-Wimbledon,1
Pimlico__Vauxhall,Pimlico,Vauxhall,Victoria,1
Pimlico__Victoria,Pimlico,Victoria,Victoria,1
Plaistow__Upton Park,Plaistow,Upton Park,District-Main;Hammersmith & City,2
Plaistow__West Ham,Plaistow,West Ham,District-Main;Hammersmith & City,2
Preston Road__Wembley Park,Preston Road,Wembley Park,Metropolitan-Main,1
Ravenscourt Park__Stamford Brook,Ravenscourt Park,Stamford Brook,District-Main,1
Rayners Lane__South Harrow,Rayners Lane,South Harrow,Piccadilly-Uxbridge,1
Rayners Lane__West Harrow,Rayners Lane,West Harrow,Metropolitan-Uxbridge,1
Redbridge__Wanstead,Redbridge,Wanstead,Central-Hainault Loop;Central-Main,2
